Description,Pathway.geneSymbol,Overlapping.geneSymbol,Overlapping.geneID,Count,GeneRatio,pvalue,p.adjust
intracellular protein transport (GO:0006886),HOMER3/NUP214/NUP93/ZFYVE16/NUP98/ADPRH/VPS25/PREB/RABL3/VPS29/STX1B/RAN/STX1A/VPS28/ANKLE1/STX16/TBC1D9B/USP6NL/ZFYVE9/RPL11/KDELR1/STX17/KDELR2/STX19/AKAP6/SNX31/STX10/STX12/STX11/RGPD4/ABRA/HERC2/CHORDC1/NUP85/SNX27/AKT1/AKT2/SYNDIG1/ARFIP2/ARFIP1/NUP88/WLS/NGFR/RABGAP1L/EGR2/TBC1D8B/TMED9/COG7/SYNRG/RAB39A/RAB27A/RAB39B/RASSF9/RAB27B/SNF8/POM121B/COPZ2/ARFGAP3/EHD1/CTAGE5/RAB40AL/POM121/FUT10/GABARAP/PHB2/IPO13/PTTG1IP/VPS26B/VPS26A/IPO11/POM121C/NUP62/AP1S3/PPP1R10/SEC31A/SIL1/GPIHBP1/SEC31B/CTSA/ACD/SEC13/STRADA/STRADB/GRTP1/RANBP17/NUTF2/AP3B1/RAB33A/RAB33B/NPAP1/GIPC1/MMP12/HAP1/ARHGEF2/CALR/SLU7/POM121L12/RAB7A/NUP62CL/RAB7B/RABGAP1/RAB5C/TMED10/OPRD1/C2CD5/CLTC/SNX1/MYO6/TMED4/SEC61B/TMED3/TMED2/AP4S1/TMED1/SNX8/RAB6B/SNX9/TMED7/RAB6C/TMED6/SNX6/AP1M2/TMED5/CEP57/RAB6A/RANBP3/RANBP2/NPM1/RIC1/STAT3/PICK1/RANBP1/AP3D1/AKR1C3/RAB11A/RANBP6/ARCN1/RAB11B/SGSM2/SGSM1/TBC1D3L/SEC23IP/SNX17/CTTN/SNX15/SGSM3/USO1/RAB9A/RAB9B/NUPL2/RAB3GAP2/CRB1/TBC1D3B/TBC1D3C/SNX13/TBC1D3F/AP4E1/TBC1D3G/PRICKLE1/TBC1D3D/NUP188/AP2A1/TBC1D3E/TRAK2/RAB22A/TRAK1/TBC1D3K/TBC1D3H/RPAIN/XPO1/RANBP3L/XPO5/XPO4/TBC1D30/KIF13A/XPO7/XPO6/KIF13B/HEATR3/RAB8A/TBC1D22A/TBC1D10A/TBC1D22B/TBC1D10B/RAB8B/TBC1D10C/CCHCR1/TGFB1/RAB2B/CD74/RAB2A/USP6/TBC1D2B/STX8/TSC2/TICAM2/RAB30/RAB34/RAB31/RAB32/TBC1D21/RAB37/RAB38/RAB35/RAB36/TBC1D25/TBC1D26/SCG5/ERP29/TBC1D28/NAPB/RAB1A/RAB1B/RAB1C/NAPA/PDCD6/KATNB1/TNF/HIKESHI/DNAJC27/NAPG/GGA1/GGA3/DSCR3/GGA2/RAB23/RAB40A/RAB20/RAB40B/RAB21/RAB40C/LAMP2/RAB26/RAB24/RAB25/STX16-NPEPL1/TBC1D14/STX7/STX6/CSE1L/TBC1D15/RAB28/TBC1D12/STX5/TBC1D13/STX4/RAB29/RAE1/STX3/STX2/TBC1D16/TBC1D17/PDIA3/NSF/RAB4B/GCKR/RABL2A/RABL2B/HPS4/NUP153/AP4B1/ADPRHL1/NUP155/TBCK/IFT22/APPBP2/RAB5A/TSNARE1/RAB5B/SPRN/IFT27/RAB3C/RAB3D/RAB3A/COPA/RAB3B/COPB2/IPO4/IPO7/HID1/IPO8/LTBP2/RAB41/IPO5/CAMSAP3/RAB44/IPO9/RAB43/EVI5L/RAB4A/EIF5A/SMURF1/MT3/NUP133/NUP50/BCL6/IFNG/BCL3/NUP58/RBM22/NLGN1/TNPO1/EVI5/TNPO2/TNPO3/YWHAH/TMED7-TICAM2/OR1D2/TBC1D9/SORL1/TBC1D1/TBC1D2/KPNB1/RAB12/MYO1C/TBC1D3/MCM3AP/RAB10/TBC1D4/RAB15/TBC1D5/CDC37/RAB13/TBC1D8/RAB14/VPS45/RAB19/RUNDC1/RAB17/RAB18/VIPAS39/RANGRF/POM121L2/HDAC6/NXT1/NUP107/PKD1/NXT2/UNC93B1/RPGR/AP4M1/SIX3/TLK1/VPS36/VPS35/CACNG3/EIF2D,NUP214/NUP98/AKT1/NUP88/NUP62/SIL1/NUTF2/AP3B1/SLU7/RAB7A/RAB5C/TMED5/HEATR3/RAB8A/RAB2A/RAB1A/RAE1/NUP58/RAB10/RAB14/RAB18,NA,21,21/374,0.000101038867743108,0.515601342093079
low-density lipoprotein particle receptor catabolic process (GO:0032802),MYLIP/AP2B1/CLTC/AP2S1/CLTA/PCSK9/AP2A2/AP2A1/VLDLR/AP2M1,AP2A2/AP2M1,NA,2,2/374,0.00178695278804473,1
viral process (GO:0016032),SSB/RPL22/RPL21/AP1S1/RPL24/NUP214/MCTS1/RPL23/DEK/AP1B1/NUP210/NUP93/RRAGA/CD4/NUP98/CD209/RPL26/RPL28/RPL27/RPL29/TP53/RAN/VPS28/NUP205/USP6NL/RPL11/RPL10/RPL13/RPL12/RPS4Y1/PARD6A/NUP85/RPL15/MVB12B/AP2S1/DAG1/RPL14/MVB12A/RPL17/DENR/NUP88/RPL19/B2M/RPL18/RPL41/VPS37D/VPS37B/VPS37C/VPS37A/HCFC1/HCFC2/RPS27/RPS26/RPS29/RPS28/RPL27A/RPS21/RPS20/RPS23/RPS25/RPS24/RPL5/RPL6/POM121/RPL31/RPL3/RPL4/RPL30/RPL32/CTBP2/RPL35/CTBP1/GFI1/RPL34/NEDD4L/RPL9/HTATSF1/RPL7/RPL8/AAAS/RPS16/RPS15/RPS18/RPS17/RPS19/POM121C/PCBP2/NUP62/AP1S3/RCC1/RPL37/AP1S2/RPL36/APOE/RPL39/RPS10/RPL38/RPS11/RPS14/RPS13/NDC1/UBAP1/PI4KA/CD28/GAS6/RAB7A/ARF1/MRPS12/LRSAM1/PCSK5/AP1M1/RPS15A/RPS27A/AP1M2/RANBP2/RANBP1/AP2B1/PACS1/NFIA/HCK/NEDD4/NUPL2/RPLP0/RPLP2/RPLP1/CXCR6/AP2A2/NUCKS1/NUP188/AP2A1/XPO1/RPL18A/RAC1/RPS8/IST1/RPS9/RPS6/RPS7/HIPK2/RPSA/PPIA/TBC1D20/ELMO1/CHMP4C/CHMP4B/CHMP4A/CLEC4M/PPID/RAB1A/RAB1B/NUP160/RXRA/PAK2/RPS5/RPS2/RPS3/RAE1/VTA1/NUP153/NUP155/PDCD6IP/CD8B/CHMP2B/CHMP3/CHMP2A/CHMP7/CHMP5/CHMP6/TSG101/CALCOCO2/VCP/UBP1/RAB43/TPR/UBC/UBB/ATP6V1H/AP2M1/EIF2AK4/RPL13A/RPS3A/NUP133/NUP50/NUP54/RPL37A/NUP58/IRF7/CD247/DOCK2/SEH1L/VPS4A/VPS4B/BICD1/PTBP1/GRK2/NUP43/RPL36A/EIF3A/RPL35A/RPL23A/LCK/VAPB/EIF3L/NUP35/EIF3F/EIF3G/UBA52/EIF3D/EIF3B/NUP37/NUP107/FURIN/RPL10A/RPS4X/AP1G1/CCL2/CCL1/FYN/EIF2D/RPL7A,NUP214/NUP210/NUP98/CD209/NUP88/NUP62/RPL36/RAB7A/AP2A2/PPIA/RAB1A/RAE1/CHMP2A/UBC/AP2M1/NUP54/NUP58/EIF3F,NA,18,18/374,4.38310304471139e-06,0.0223669748371622
protein deglycosylation (GO:0006517),MGEA5/MAN2A2/NGLY1/MAN2C1/PARK7/MAN2B2/AGA/MAN2A1/MAN2B1/ENGASE,NGLY1,NA,1,1/374,0.026057258962688,1
endosome to lysosome transport (GO:0008333),SNAPIN/DTX3L/AKTIP/ATG14/RHOB/HOOK3/HOOK2/HOOK1/RAB7A/RAB7B/TGFBRAP1/VPS4B/ADRB2/MTM1/DENND3/VPS11/GPRASP1/RILP/VPS16/HMGXB4/VPS18/UBXN6/SORT1/VPS33A/M6PR/AP3D1/FAM160A2/RAB12/VAMP7/VPS41/BIN1/SNX16/VIPAS39/BECN2/VCP/MGRN1/CLEC16A/TRAK1/LYST/CACNG7/CACNG8/KIF13A/CACNG2/CACNG3/CACNG4/CACNG5/VPS39/SCYL2,HOOK1/RAB7A/VPS11/VPS39,NA,4,4/374,0.00767628081786527,1
microtubule anchoring at microtubule organizing center (GO:0072393),NIN/HOOK3/CCDC68/MBD1/CEP19/KIF3A/DCTN1/BICD1/CCDC120/BICD2/BBS4,NIN,NA,1,1/374,0.0313121388414287,1
membrane raft organization (GO:0031579),ANXA2/CAV3/RFTN1/FLOT2/PPT1/EMP2/NPC1/FLOT1/MYADM/S100A10,PPT1,NA,1,1/374,0.026057258962688,1
sodium ion export from cell (GO:0036376),ATP1A4/ATP1A3/ATP1B4/ATP1A2/ATP1B3/ATP1A1/ATP1B2/ATP1B1/ATP12A/SLC9A1/ATP4B/ATP4A/FXYD2,ATP1B1,NA,1,1/374,0.0429301060251057,1
regulation of macrophage apoptotic process (GO:2000109),MEF2C/CDKN2A/SELENOS/NOD2/IRF7/SIRT1,SELENOS,NA,1,1/374,0.00929900216569043,1
RNA destabilization (GO:0050779),GIGYF2/YTHDF2/METTL14/YTHDF3/METTL3/DXO/PUM1/MEX3D/METTL16,GIGYF2,NA,1,1/374,0.0212031977277593,1
cellular response to catecholamine stimulus (GO:0071870),RYR2/PRKN/APLP1/LRRK2/ATP2B4/SIRT2/SLC9A1/ADCY6/NR4A3/GNG2/GNB1/KCNQ1/MAPK3/PDE4B/MAPK1/DRD1/ABL1/DRD5/SNCA/ATF4/PRKACA/GABPA/SULT1A3,GNB1/PRKACA,NA,2,2/374,0.0205844719498634,1
protein targeting (GO:0006605),PEX19/HOMER3/PEX12/GDAP1/PEX16/SPATA16/NCF1/OTC/OPTN/RPL11/ZFAND6/KATNB1/AKAP6/TOMM20/TOMM22/GOLGA7B/LAMP2/MICALL1/MFN2/LONP2/VTI1B/VTI1A/FIS1/ATG3/ICMT/PRKCI/TMEM50A/PMM2/PMM1/TMEM50B/VPS13D/RAB3IP/AIP/TOMM70/RASSF9/HPS4/PARD3/VPS13C/AP4B1/SYS1-DBNDD2/TIMM44/VPS13A/SDCBP/DNAJC19/TIMM10B/FUT10/GABARAP/SYS1/ARL6/SRPRA/SRP14/LTBP2/AP1S3/TIMM17B/TIMM17A/GOLGA7/SEC63/PEX1/TIMM23/TIMM22/ZDHHC11B/GIPC1/PEX6/ATG4D/HAP1/ATG4C/EXOC4/ATG4B/ATG4A/TOMM5/TOMM7/NDUFB8/NLGN1/CHM/TIMM13/PIK3R4/TIMM10/PITRM1/SEC61G/AP4S1/AP1M2/TIMM8B/AP3D1/ZDHHC14/SRP68/ZDHHC11/ZDHHC12/SORL1/ZDHHC18/ZDHHC15/TOMM34/SPCS3/MYO1C/SPCS2/VPS41/SPCS1/CDC37/TAOK2/MGARP/SLC25A6/RTP5/TIMM9/TOMM40/RTP3/ZDHHC1/RTP4/ZDHHC20/RTP1/ZDHHC21/RTP2/GOSR2/ZDHHC24/ZDHHC6/AP4E1/ZDHHC7/ZDHHC22/ZDHHC9/ZDHHC23/TRAK2/ZDHHC2/MFF/TRAK1/ZDHHC3/ZDHHC4/AP4M1/ZDHHC19/RABGEF1/SEC61A1/KIF13B/SRP54/FBXO7/TSPO/CACNG3,TOMM70/DNAJC19/TIMM10B/GOLGA7/TIMM10/PITRM1/TIMM8B/TIMM9/SRP54,NA,9,9/374,0.00235248752573046,1
cellular response to thyroid hormone stimulus (GO:0097067),CTSB/LMO2/MBD4/KLF9/RDX/CTSL/CTSH/GATA1/CTSS/GAS2L1,CTSB/RDX,NA,2,2/374,0.00178695278804473,1
coenzyme A biosynthetic process (GO:0015937),PANK2/DCAKD/ACAT1/PPCS/ACOT7/PPCDC/COASY,DCAKD,NA,1,1/374,0.0127977214204242,1
regulation of hormone biosynthetic process (GO:0046885),EGR1/DGKQ/ARNT/STC2/FFAR3/HIF1A/TRERF1,STC2,NA,1,1/374,0.0127977214204242,1
drug transmembrane transport (GO:0006855),RALBP1/TMEM30A/SLC47A1/ABCC3/SLC47A2/SLC22A1/SLC22A3/ATP8B1/SLC22A2/ABCC1/ABCG5,ABCC1,NA,1,1/374,0.0313121388414287,1
"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)",EXOSC8/EXOSC7/ERI1/ERI2/EXOSC9/EXOSC3/EXOSC2,EXOSC8/EXOSC3/EXOSC2,NA,3,3/374,1.43589748200045e-05,0.0732738485064831
protein transport (GO:0015031),PEX19/ATP6V1E1/GOLPH3L/SCAMP2/SCAMP1/RUFY1/ZFYVE16/ADPRH/TFR2/ZG16/RABL3/VPS29/STX1B/OPTN/STX1A/STX16/RAMP3/TBC1D9B/USP6NL/ATP6V0D1/ZFYVE9/KDELR1/STX17/KDELR2/LRP1/STX19/SNX33/SNX31/STX10/STX12/STX11/NEURL1B/HERC2/SNX27/SYNDIG1/ARFIP2/ARFIP1/RILP/WLS/ATP6V1E2/NGFR/RABGAP1L/TBC1D8B/TMED9/ARRDC1/COG7/ATP6AP1/ARRDC4/SYNRG/RAB39A/RAB27A/RAB39B/RAB27B/PRKCB/ANK3/COPZ2/ARFGAP3/EHD1/UNC119/PPT1/VAMP2/RAB40AL/ATP6V1B1/ATP6V1B2/UNC119B/MACF1/TFRC/VPS26B/LMAN2L/VPS26A/GOLGA4/ATP6V0A4/APOE/SEC31A/GOLGA7/SIL1/ATP6V1C1/ATP6V0A1/ATP6V1C2/GPIHBP1/ATP6V0A2/SEC31B/CTSA/BBS2/ACD/BBS1/SEC13/GRTP1/NDC1/AP3B1/RAB33A/RAB33B/CENPF/TF/ARHGEF2/SLU7/RAB7A/RAB7B/RABGAP1/RAB5C/TMED10/CLTC/TIMM13/CD3G/VLDLR/TIMM10/LRSAM1/SNX4/RAP1A/SNX1/MYO6/TMED4/TMED3/TMED2/TMED1/CD36/SNX8/RAB6B/SNX9/TMED7/SPTBN1/RAB6C/TMED6/SNX6/TMED5/RAB6A/ATP6V1G1/NPM1/ATP6V1G2/ATP6V0E1/RIC1/ATP6V1G3/ATP6V0E2/PICK1/AP3D1/ZDHHC17/RAB11A/ARCN1/RAB11B/SGSM2/SGSM1/CLIP3/TBC1D3L/SEC23IP/SNX17/CTTN/SNX15/SGSM3/USO1/RAB9A/PPARG/RAB9B/RAMP1/ATP6V0D2/RAMP2/RAB3GAP2/TIMM9/TBC1D3B/TBC1D3C/AFM/SNX13/TBC1D3F/MIA3/TBC1D3G/TBC1D3D/AP2A1/TBC1D3E/RAB22A/TBC1D3K/TBC1D3H/ARFRP1/TBC1D30/KIF13A/C16ORF70/RAB8A/TBC1D22A/TBC1D10A/TBC1D22B/TBC1D10B/RAB8B/TBC1D10C/RAB2B/TOR1A/CD74/RAB2A/USP6/TBC1D2B/STX8/TICAM2/RAB30/LRP1B/RAB34/RAB31/RAB32/TBC1D21/RAB37/RAB38/RAB35/RAB36/TBC1D25/ABCG1/TBC1D26/SCG5/ERP29/STEAP3/TBC1D28/NAPB/RAB1A/RAB1B/REP15/RAB1C/NAPA/PDCD6/HFE/CLU/HIKESHI/DNAJC27/NAPG/HSP90B1/GGA1/GGA3/DSCR3/GGA2/RAB23/RAB40A/RAB20/RAB40B/RAB21/RAB40C/LAMP2/RAB26/RAB24/RAB25/STX16-NPEPL1/TBC1D14/STX7/STX6/TBC1D15/RAB28/TBC1D12/STX5/TBC1D13/STX4/RAB29/STX3/STX2/TBC1D16/TBC1D17/NSF/RAB4B/ATP6V0C/ATP6V0B/RABL2A/RABL2B/SYS1-DBNDD2/ADPRHL1/TBCK/IFT22/APPBP2/RAB5A/TSNARE1/RAB5B/IFT27/RAB3C/RAB3D/ATP6V1A/CALCRL/RAB3A/ATP6V1D/COPA/RAB3B/SYS1/COPB2/IPO4/ARHGAP1/HID1/RAB41/RAB44/CALCR/RAB43/TOM1/EVI5L/ATP6V1F/RAB4A/ATP6V1H/DNM2/ITGB1BP1/MYH9/EVI5/CEP290/YWHAH/TIMM8B/TIMM8A/TMED7-TICAM2/VPS33B/TBC1D9/LMTK2/MCOLN1/TBC1D1/TBC1D2/RAB12/TBC1D3/RAB10/TBC1D4/GOLPH3/RAB15/TBC1D5/RAB13/TBC1D8/RAB14/VPS45/RAB19/RUNDC1/RAB17/RAB18/VIPAS39/BLZF1/HDAC6/UNC93B1/TCIRG1/RPGR/AP4M1/TLK1/VPS35/ABCD1/EIF2D,ATP6AP1/PPT1/GOLGA7/SIL1/AP3B1/CENPF/SLU7/RAB7A/RAB5C/TIMM10/TMED5/TIMM9/RAB8A/TOR1A/RAB2A/RAB1A/ATP6V1A/TIMM8B/RAB10/RAB14/RAB18,NA,21,21/374,4.01171777721482e-05,0.204717958171273
regulation of bone mineralization (GO:0030500),TGFB1/KL/ACVR1/CCR1/TGFB3/SRGN/OSR2/OSR1/BMP7/ACVR2B/ACVR2A/BMP6/BMP4/BMP2/BCOR/BMPR1A/BMPR1B/TFAP2A/DDR2/BMPR2/STATH/S1PR1/WNT4/FGF23/MEF2C/AHSG/FZD9/ISG15/ANO6/P2RX7/NELL1/GREM1/NBR1/TMEM119/BMP2K/FBN2/ECM1/GPM6B/PTH/PKDCC/TXLNG/TWIST1/ATRAID/SLC8A1/CYP27B1/ENPP1/ANKH/PTK2B/CCL3/TRPM4,ISG15/ANO6/FBN2,NA,3,3/374,0.0396351221029236,1
cellular response to prostaglandin E stimulus (GO:0071380),GNG2/GNB1/PTGER2/TNFSF4/PTGER4/SFRP1/PTGDR/ADCY6,GNB1,NA,1,1/374,0.0167747462928842,1
regulation of histone deacetylation (GO:0031063),ZNHIT1/CAMK2D/NIPBL/CTBP1/AKAP8L/AKAP8/ING2/SDR16C5/FOXP3/TP53/USP17L2,AKAP8L/AKAP8,NA,2,2/374,0.00241029950835454,1
microtubule nucleation by microtubule organizing center (GO:0051418),NIN/TUBGCP2/TUBGCP3/TUBGCP6/TUBGCP4/TUBGCP5/CEP192/MZT1,NIN/TUBGCP2/TUBGCP3,NA,3,3/374,2.81327385424701e-05,0.143561364782225
negative regulation of leukocyte migration (GO:0002686),BMP5/CD300A/SLIT2/HMOX1/WASL/GCSAM/HOXA7,HMOX1,NA,1,1/374,0.0127977214204242,1
protein N-linked glycosylation (GO:0006487),B3GALNT1/GFPT1/ENTPD5/GFPT2/DOLPP1/MOGS/UBE2G2/ALG12/DPM1/DPM2/DPM3/TMEM258/DPAGT1/ST6GALNAC1/MCFD2/B4GALT1/GAL3ST1/ST6GALNAC2/ST6GALNAC3/RPN1/TUSC3/RPN2/UMOD/TMEM165/KRTCAP2/FUT8/MAGT1/MGAT5B/ST3GAL5/ST3GAL6/B4GALNT2/ST3GAL1/ST3GAL2/ST3GAL3/ST3GAL4/ST6GAL2/PMM2/ALG8/PMM1/ST6GAL1/ALG5/OST4/ALG6/B3GALT5/SYVN1/C20ORF173/DDOST/DAD1/OSTC/STT3B/STT3A/ST6GALNAC4/B4GALT7/ST6GALNAC5/ST6GALNAC6/KCNE1/VCP/CCDC126/DERL3/ASGR1/UBE2J1/ASGR2/LMAN1/B3GALT1/B3GALT2/MGAT5/MAN1C1/PGM3/MGAT2/MGAT1/UGGT2/UGGT1/NUDT14,MOGS/ALG8/ALG5/UGGT2,NA,4,4/374,0.0401500145667355,1
cellular response to prostaglandin stimulus (GO:0071379),PTGFR/GNG2/GNB1/PTGER2/AKR1C2/TNFSF4/PTGER4/AKR1C3/SFRP1/PTGDR/ADCY6,GNB1,NA,1,1/374,0.0313121388414287,1
negative regulation of mRNA catabolic process (GO:1902373),NBAS/DHX34/FMR1/PKP3/PABPC1/PKP1,PABPC1,NA,1,1/374,0.00929900216569043,1
regulation of coagulation (GO:0050818),FOXA2/PROC/F2R/PROCR/CAV1/F2RL1/F2/GP1BA/HS3ST5/HRG,F2RL1,NA,1,1/374,0.026057258962688,1
negative regulation of macromolecule biosynthetic process (GO:0010558),TGFB1/EDN1/FCN3/IL10/PPARA/HDAC2/AKR1B1/GSTP1/CLTC/NR1D1/AP2A1/FOXP3/TMEFF2/IL6/SELENOS/APBB1/PPARG/PF4/CIITA/ASB1,HDAC2/SELENOS,NA,2,2/374,0.0140245656522957,1
carnitine metabolic process (GO:0009437),SLC22A5/SLC22A4/CPT1A/ACADM/ACADL/BBOX1/SHMT1/TMLHE/ALDH9A1/CROT/CRAT,ACADM,NA,1,1/374,0.0313121388414287,1
